name,series_id,frame_id,annotator_id,length_px,radius_median_px,signal_mean
p0001_00000001_f0016_4,00000001,f0016,4,18.071,8.544,0.82667
p0001_00000001_f0016_4,00000001,f0016,4,6.828,4.0,0.49291
p0001_00000001_f0016_4,00000001,f0016,4,24.657,9.924,0.81934
p0001_00000001_f0016_4,00000001,f0016,4,4.243,3.606,0.3855
p0001_00000001_f0016_4,00000001,f0016,4,3.828,13.227,0.73855
p0001_00000001_f0016_4,00000001,f0016,4,4.243,7.413,0.5
p0001_00000001_f0016_4,00000001,f0016,4,7.071,9.082,0.63104
p0001_00000001_f0016_4,00000001,f0016,4,15.071,9.0,0.68539
p0001_00000001_f0016_4,00000001,f0016,4,20.485,4.472,0.6822
p0001_00000001_f0016_4,00000001,f0016,4,10.899,8.062,0.65564
p0001_00000001_f0016_4,00000001,f0016,4,18.485,8.0,0.74899
p0001_00000001_f0016_4,00000001,f0016,4,2.414,4.472,0.67684
p0001_00000001_f0016_4,00000001,f0016,4,2.828,5.0,0.60305
p0001_00000001_f0016_4,00000001,f0016,4,5.243,8.062,0.67176
p0001_00000001_f0016_4,00000001,f0016,4,7.657,4.472,0.64995
p0001_00000001_f0016_4,00000001,f0016,4,7.828,7.808,0.73187
p0001_00000001_f0016_4,00000001,f0016,4,2.828,7.071,0.77863
p0001_00000001_f0016_4,00000001,f0016,4,22.071,7.616,0.81025
p0001_00000001_f0016_4,00000001,f0016,4,17.828,5.0,0.64504
p0001_00000001_f0016_4,00000001,f0016,4,5.243,4.472,0.69466
p0001_00000001_f0016_4,00000001,f0016,4,45.657,3.0,0.52689
p0001_00000001_f0017_4,00000001,f0017,4,25.899,7.0,0.29198
p0001_00000001_f0017_4,00000001,f0017,4,11.657,5.0,0.55028
p0001_00000001_f0017_4,00000001,f0017,4,15.828,7.616,0.68513
p0001_00000001_f0017_4,00000001,f0017,4,28.485,9.0,0.63608
p0001_00000001_f0017_4,00000001,f0017,4,9.657,7.0,0.5665
p0001_00000001_f0017_4,00000001,f0017,4,19.071,8.515,0.75084
p0001_00000001_f0017_4,00000001,f0017,4,13.657,6.083,0.44406
p0001_00000001_f0017_4,00000001,f0017,4,27.414,9.0,0.67614
p0001_00000001_f0017_4,00000001,f0017,4,8.071,5.099,0.66017
p0001_00000001_f0017_4,00000001,f0017,4,2.414,11.18,0.72222
p0001_00000001_f0017_4,00000001,f0017,4,2.414,8.944,0.73485
p0001_00000001_f0017_4,00000001,f0017,4,5.243,6.708,0.57576
p0001_00000001_f0017_4,00000001,f0017,4,15.243,5.831,0.55808
p0001_00000001_f0017_4,00000001,f0017,4,5.243,6.403,0.52576
p0001_00000001_f0017_4,00000001,f0017,4,2.0,4.123,0.36616
p0001_00000001_f0017_4,00000001,f0017,4,13.485,9.849,0.72538
p0001_00000001_f0017_4,00000001,f0017,4,4.828,6.325,0.53939
p0001_00000001_f0017_4,00000001,f0017,4,11.243,2.828,0.30234
p0001_00000001_f0017_4,00000001,f0017,4,2.828,10.63,0.7298
p0001_00000001_f0017_4,00000001,f0017,4,16.243,5.0,0.47633
p0001_00000001_f0017_4,00000001,f0017,4,2.414,3.162,0.36364
p0001_00000001_f0017_4,00000001,f0017,4,4.414,2.0,0.34697
p0001_00000001_f0017_4,00000001,f0017,4,31.142,4.062,0.5
p0001_00000001_f0017_4,00000001,f0017,4,12.657,10.025,0.70265
p0001_00000001_f0017_4,00000001,f0017,4,3.828,2.532,0.37689
p0001_00000001_f0017_4,00000001,f0017,4,13.657,10.77,0.8176
p0001_00000001_f0017_4,00000001,f0017,4,16.071,8.0,0.78939
p0001_00000001_f0017_4,00000001,f0017,4,2.414,9.849,0.84848
p0001_00000001_f0017_4,00000001,f0017,4,14.899,5.0,0.74592
p0001_00000001_f0017_4,00000001,f0017,4,10.899,2.828,0.78367
p0001_00000001_f0017_4,00000001,f0017,4,2.0,4.123,0.74747
p0001_00000001_f0017_4,00000001,f0017,4,26.657,9.353,0.81702
p0001_00000001_f0017_4,00000001,f0017,4,8.243,7.211,0.83712
p0001_00000001_f0017_4,00000001,f0017,4,4.828,6.403,0.80758
p0001_00000001_f0017_4,00000001,f0017,4,5.828,3.924,0.71338
p0001_00000001_f0017_4,00000001,f0017,4,11.657,5.385,0.66185
p0001_00000001_f0017_4,00000001,f0017,4,31.899,8.0,0.50152
p0001_00000001_f0017_4,00000001,f0017,4,35.971,6.702,0.48319
p0001_00000001_f0017_4,00000001,f0017,4,2.828,8.602,0.54798
p0001_00000001_f0017_4,00000001,f0017,4,5.657,4.472,0.73485
p0001_00000001_f0017_4,00000001,f0017,4,2.828,8.062,0.60606
p0001_00000001_f0017_4,00000001,f0017,4,18.485,8.062,0.72371
p0001_00000001_f0017_4,00000001,f0017,4,11.071,7.071,0.71894
p0001_00000001_f0017_4,00000001,f0017,4,5.243,5.831,0.72424
p0001_00000001_f0017_4,00000001,f0017,4,2.828,8.602,0.64141
p0001_00000001_f0017_4,00000001,f0017,4,15.071,4.621,0.65639
p0001_00000001_f0017_4,00000001,f0017,4,4.243,5.657,0.71591
p0001_00000001_f0017_4,00000001,f0017,4,46.971,7.81,0.71265
p0001_00000001_f0017_4,00000001,f0017,4,4.828,6.325,0.62727
p0001_00000001_f0017_4,00000001,f0017,4,5.243,5.385,0.40152
p0001_00000001_f0017_4,00000001,f0017,4,20.657,5.0,0.63977
p0001_00000001_f0017_4,00000001,f0017,4,27.899,5.0,0.64336
p0001_00000001_f0017_4,00000001,f0017,4,2.0,5.0,0.58333
p0001_00000001_f0017_4,00000001,f0017,4,13.828,4.062,0.55682
p0001_00000001_f0017_4,00000001,f0017,4,5.828,3.606,0.58207
p0001_00000001_f0018_1,00000001,f0018,1,31.485,7.141,0.36567
p0001_00000001_f0018_1,00000001,f0018,1,10.657,6.325,0.56567
p0001_00000001_f0018_1,00000001,f0018,1,8.243,6.325,0.22015
p0001_00000001_f0018_1,00000001,f0018,1,26.899,7.616,0.72388
p0001_00000001_f0018_1,00000001,f0018,1,19.243,10.198,0.65593
p0001_00000001_f0018_1,00000001,f0018,1,9.485,6.541,0.63993
p0001_00000001_f0018_1,00000001,f0018,1,3.828,8.062,0.77052
p0001_00000001_f0018_1,00000001,f0018,1,10.899,7.616,0.26451
p0001_00000001_f0018_1,00000001,f0018,1,33.071,8.246,0.73414
p0001_00000001_f0018_1,00000001,f0018,1,12.657,6.325,0.59888
p0001_00000001_f0018_1,00000001,f0018,1,3.828,10.975,0.70522
p0001_00000001_f0018_1,00000001,f0018,1,6.657,6.204,0.74378
p0001_00000001_f0018_1,00000001,f0018,1,2.828,7.211,0.27612
p0001_00000001_f0018_1,00000001,f0018,1,8.657,12.083,0.71828
p0001_00000001_f0018_1,00000001,f0018,1,6.657,5.193,0.57463
p0001_00000001_f0018_1,00000001,f0018,1,7.828,12.369,0.7416
p0001_00000001_f0018_1,00000001,f0018,1,2.828,5.385,0.59453
p0001_00000001_f0018_1,00000001,f0018,1,2.828,5.831,0.70647
p0001_00000001_f0018_1,00000001,f0018,1,8.243,12.825,0.72948
p0001_00000001_f0018_1,00000001,f0018,1,4.828,5.831,0.53284
p0001_00000001_f0018_1,00000001,f0018,1,14.071,7.28,0.21929
p0001_00000001_f0018_1,00000001,f0018,1,21.071,3.162,0.45896
p0001_00000001_f0018_1,00000001,f0018,1,6.414,6.083,0.64286
p0001_00000001_f0018_1,00000001,f0018,1,5.243,13.0,0.73433
p0001_00000001_f0018_1,00000001,f0018,1,3.828,11.873,0.78172
p0001_00000001_f0018_1,00000001,f0018,1,16.243,4.123,0.4986
p0001_00000001_f0018_1,00000001,f0018,1,15.243,4.0,0.62289
p0001_00000001_f0018_1,00000001,f0018,1,2.414,11.18,0.80597
p0001_00000001_f0018_1,00000001,f0018,1,12.657,11.0,0.72637
p0001_00000001_f0018_1,00000001,f0018,1,4.414,7.28,0.23731
p0001_00000001_f0018_1,00000001,f0018,1,3.828,3.162,0.28731
p0001_00000001_f0018_1,00000001,f0018,1,27.314,5.0,0.21045
p0001_00000001_f0018_1,00000001,f0018,1,10.243,6.0,0.25522
p0001_00000001_f0018_1,00000001,f0018,1,13.828,5.608,0.3113
p0001_00000001_f0018_1,00000001,f0018,1,19.657,5.0,0.37981
p0001_00000001_f0018_1,00000001,f0018,1,19.899,5.0,0.28317
p0001_00000001_f0018_1,00000001,f0018,1,12.657,12.267,0.78234
p0001_00000001_f0018_1,00000001,f0018,1,17.485,8.972,0.80037
p0001_00000001_f0018_1,00000001,f0018,1,5.243,5.831,0.38507
p0001_00000001_f0018_1,00000001,f0018,1,2.828,12.083,0.78109
p0001_00000001_f0018_1,00000001,f0018,1,34.899,10.0,0.7777
p0001_00000001_f0018_1,00000001,f0018,1,8.071,11.662,0.82196
p0001_00000001_f0018_1,00000001,f0018,1,4.243,12.922,0.80784
p0001_00000001_f0018_1,00000001,f0018,1,2.828,6.325,0.37562
p0001_00000001_f0018_1,00000001,f0018,1,2.828,5.385,0.41045
p0001_00000001_f0018_1,00000001,f0018,1,26.899,7.0,0.53522
p0001_00000001_f0018_1,00000001,f0018,1,5.243,8.062,0.5806
p0001_00000001_f0018_1,00000001,f0018,1,2.828,13.601,0.78109
p0001_00000001_f0018_1,00000001,f0018,1,2.828,7.211,0.54229
p0001_00000001_f0018_1,00000001,f0018,1,9.899,7.81,0.58302
p0001_00000001_f0018_1,00000001,f0018,1,28.485,5.385,0.47236
p0001_00000001_f0018_1,00000001,f0018,1,17.485,9.0,0.67771
p0001_00000001_f0018_1,00000001,f0018,1,14.485,5.657,0.68657
p0001_00000001_f0018_1,00000001,f0018,1,12.728,7.713,0.58881
p0001_00000001_f0018_1,00000001,f0018,1,2.828,5.657,0.6592
p0001_00000001_f0018_1,00000001,f0018,1,17.485,7.211,0.69823
p0001_00000001_f0018_1,00000001,f0018,1,3.828,5.385,0.64179
p0001_00000001_f0018_1,00000001,f0018,1,4.828,7.81,0.66269
p0001_00000001_f0018_1,00000001,f0018,1,10.828,5.385,0.61737
p0001_00000001_f0018_1,00000001,f0018,1,3.414,3.162,0.46082
p0001_00000001_f0018_1,00000001,f0018,1,20.414,7.071,0.75764
p0001_00000001_f0018_1,00000001,f0018,1,2.828,4.123,0.44279
p0001_00000001_f0018_1,00000001,f0018,1,18.485,5.099,0.43459
p0001_00000001_f0018_1,00000001,f0018,1,3.828,6.204,0.6847
p0001_00000001_f0018_1,00000001,f0018,1,2.414,5.831,0.70896
p0001_00000001_f0018_1,00000001,f0018,1,5.243,5.0,0.70149
p0001_00000001_f0018_1,00000001,f0018,1,10.243,4.123,0.6306
p0001_00000001_f0018_1,00000001,f0018,1,27.657,4.0,0.64151
p0001_00000001_f0018_1,00000001,f0018,1,9.657,3.606,0.60365
p0001_00000001_f0018_1,00000001,f0018,1,11.314,3.606,0.47264
p0001_00000001_f0018_1,00000001,f0018,1,4.828,4.472,0.40299
p0001_00000001_f0018_1,00000001,f0018,1,30.485,4.472,0.5368
p0001_00000001_f0018_4,00000001,f0018,4,6.828,5.0,0.45842
p0001_00000001_f0018_4,00000001,f0018,4,5.414,5.0,0.56343
p0001_00000001_f0018_4,00000001,f0018,4,24.071,8.0,0.73913
p0001_00000001_f0018_4,00000001,f0018,4,23.071,9.22,0.65672
p0001_00000001_f0018_4,00000001,f0018,4,11.899,5.05,0.61119
p0001_00000001_f0018_4,00000001,f0018,4,13.657,5.385,0.58324
p0001_00000001_f0018_4,00000001,f0018,4,12.828,8.944,0.74742
p0001_00000001_f0018_4,00000001,f0018,4,2.0,3.0,0.58209
p0001_00000001_f0018_4,00000001,f0018,4,27.414,8.0,0.72255
p0001_00000001_f0018_4,00000001,f0018,4,9.071,5.693,0.72481
p0001_00000001_f0018_4,00000001,f0018,4,16.243,5.385,0.57743
p0001_00000001_f0018_4,00000001,f0018,4,20.314,10.77,0.7272
p0001_00000001_f0018_4,00000001,f0018,4,11.657,6.083,0.53324
p0001_00000001_f0018_4,00000001,f0018,4,14.243,6.708,0.621
p0001_00000001_f0018_4,00000001,f0018,4,22.071,2.0,0.47832
p0001_00000001_f0018_4,00000001,f0018,4,18.728,10.77,0.77285
p0001_00000001_f0018_4,00000001,f0018,4,13.243,5.0,0.54076
p0001_00000001_f0018_4,00000001,f0018,4,28.485,5.0,0.5304
p0001_00000001_f0018_4,00000001,f0018,4,2.828,8.062,0.77612
p0001_00000001_f0018_4,00000001,f0018,4,3.828,7.413,0.73507
p0001_00000001_f0018_4,00000001,f0018,4,5.828,7.713,0.73383
p0001_00000001_f0018_4,00000001,f0018,4,2.828,4.472,0.37811
p0001_00000001_f0018_4,00000001,f0018,4,4.828,10.77,0.80149
p0001_00000001_f0018_4,00000001,f0018,4,10.243,12.124,0.7791
